id|first_name|last_name|nickname|dob|nationality|height|weight|role
48|Bas|Dost||1989-05-31|Netherlands|196|89|
49|Matevz|Dajcar||2002-02-02|Slovenia|||goalkeeper
50|Onel|Hernández||1993-02-01|Cuba|172|76|midfielder
51|Bruno Miguel|Boialvo Gaspar|Bruno Gaspar|1993-04-21|Angola|180|69|defender
52|Vincent|Marcel||1997-04-09|France|180|65|
53|Leonardo|Moleri||2002-01-18|Italy|196||goalkeeper
54|Justin|Smith||2003-02-04|France|188|79|
55|Gaizka|Larrazabal||1997-12-17|Spain|180|81|midfielder
56|Alessandro|Rigo||2002-02-25|Italy|||Defensive Midfielder
57|Arturo|Vidal||1987-05-22|Chile|180|75|midfielder
58|Sergio|Carreira||2000-10-13|Spain|170|70|defender
59|Luca|Garritano||1994-02-11|Italy|172|67|midfielder
60|Sydney|van Hooijdonk||2000-02-06|Netherlands|188|81|
61|Enzo|Crivelli||1995-02-06|France|184|79|striker
62|Wayne|Rooney||1985-10-24|England|176|83|striker
63|Anthony|Limbombe||1994-07-15|Belgium|177|72|midfielder
64|Mehdi|Zerkane||1999-07-15|Algeria|175|75|midfielder
65|Enzo|Adeagbo||2002-01-11|Switzerland|189||defender
66|Mattéo|Guendouzi||1999-04-14|France|185|68|midfielder
67|Miiko|Albornoz||1990-11-30|Chile|180|80|defender
68|Robert|Glatzel||1994-01-08|Germany|193|85|striker
69|Mubarak|Wakaso||1990-07-25|Ghana|171|66|midfielder
70|Sergio|Álvarez||1992-01-23|Spain|183|74|midfielder
71|Kevin|Vogt||1991-09-23|Germany|194|87|defender
72|Simon|Ramet||2003-03-13|France|||
73|Miguel Ángel|Atienza||1999-05-27|Spain|186||midfielder
74|Gabriel Tadeu|Strefezza Rebelato|Gabriel Strefezza|1997-04-18|Brazil|168|63|
75|Yohann|Magnin||1997-06-21|France|183|71|
76|Christian|Saydee||2002-05-10|England|181||striker
77|Vincenzo|Grifo||1993-04-07|Italy|180|76|midfielder
78|Jere|Uronen||1994-07-13|Finland|177|69|defender
79|Dejan|Lovren||1989-07-05|Croatia|188|84|defender
80|Aleksandar|Jovanovic||1992-12-06|Serbia|192|86|
81|Callum|Wilson||1992-02-27|England|180|66|striker
82|Dean|Henderson|Dean Henderson|1997-03-12|England|188|85|goalkeeper
83|Imanol|Agirretxe||1987-02-24|Spain|187||forward
84|Daniel|Villahermosa||2001-01-02|Spain|||midfielder
85|Sergi|Samper Montaña|Sergi|1995-01-20|Spain|182|73|Defensive Midfielder
86|Cameron|Carter-Vickers||1997-12-31|USA|183|92|defender
87|Patrick|Sequeira||1999-03-01|Costa Rica|190||goalkeeper
88|André|Schürrle||1990-11-06|Germany|184|73|midfielder
89|Ryan|Babel||1986-12-19|Netherlands|185|79|midfielder
90|Dimitrije|Kamenovic||2000-07-16|Serbia|188||defender
91|Francesco|Di Tacchio||1990-04-20|Italy|185|78|Defensive Midfielder
92|Rominigue|Kouamé||1996-12-17|Mali|177|68|midfielder
93|Luca|Plogmann||2000-03-10|Germany|188|78|goalkeeper
94|Munas|Dabbur||1992-05-14|Israel|182|76|striker
95|Igor|Zubeldia||1997-03-30|Spain|180|79|midfielder
96|Dilan|Markanday||2001-08-20|England|||midfielder
97|Manuel|Navarro||2000-10-09|Spain|||midfielder
98|Christian|Gebauer||1993-12-20|Austria|187|74|midfielder
99|Luca|Paganini||1993-06-08|Italy|182|70|
100|Oussama|Idrissi||1996-02-26|Morocco|175|78|midfielder
101|Amos|Pieper||1998-01-17|Germany|192|86|defender
102|Elvis|Rexhbecaj||1997-11-01|Germany|182|78|Defensive Midfielder
103|Kalidou|Koulibaly||1991-06-20|Senegal|195|89|defender
104|Lorenzo|Colombo||2002-03-08|Italy|186|74|striker
105|Tom|Starke||1981-03-18|Germany|194|98|goalkeeper
106|Antonino|Gallo||2000-01-05|Italy|183|69|defender
107|Kieran|Trippier||1990-09-19|England|178|71|defender
108|Darnell|Johnson||1998-09-03|England|||defender
109|Javier|López Rodríguez|Javi López|1986-01-21|Spain|180|76|defender
110|Steve|Mounié||1994-09-29|Benin|190|83|
111|Giovanni|Crociata||1997-08-11|Italy|174|67|midfielder
112|Francis|Uzoho||1998-10-28|Nigeria|196|91|goalkeeper
113|Bobby|Allain||1991-11-28|France|185|77|goalkeeper
114|Robert|Navarro||2002-04-12|Spain|178||
115|Jorge|Resurrección|Koke|1992-01-08|Spain|176|77|midfielder
116|Axel|Werner||1996-02-28|Argentina|192|85|goalkeeper
117|Billy|Sharp||1986-02-05|England|175|70|striker
118|Mohamed|Ihattaren||2002-02-12|Netherlands|183|77|midfielder
119|Marwin|Hitz||1987-09-18|Switzerland|194|89|goalkeeper
120|Arthur|Zagre||2001-10-04|France|168|55|
121|Jakub|Blaszczykowski||1985-12-14|Poland|175|71|midfielder
122|Jesús|Gámez Duarte|Jesús Gámez|1985-04-10|Spain|177|75|Difensore
123|Winston|Reid||1988-07-03|New Zealand|190|87|defender
124|Gojko|Kacar||1987-01-26|Serbia|185|85|Defensive Midfielder
125|André|Hoffmann||1993-02-28|Germany|190|84|defender
126|Taylan|Duman||1997-07-30|Germany|177|75|midfielder
127|Jorge|Pulido||1991-04-08|Spain|186|72|defender
128|Bruno|Petkovic||1994-09-16|Croatia|193|88|striker
129|Cameron|Archer||2001-12-09|England|||
130|Sofian|Kiyine||1997-10-02|Morocco|182|72|midfielder
131|Gabriel|Mercado||1987-03-18|Argentina|180|85|defender
132|Alfred|Gomis||1993-09-05|Senegal|196|83|goalkeeper
133|Nikola|Pejovic||1998-09-22|Serbia|185|79|defender
134|Edouard|Michut||2003-03-04|France|||midfielder
135|Stole|Dimitrievski||1993-12-25|North Macedonia|188|84|goalkeeper
136|Lucas|Da Cunha||2001-06-09|France|176|69|
137|Luca|Antonelli||1987-02-11|Italy|184|79|defender
138|Rafael Euclides|Soares Camacho|Rafael Camacho|2000-05-22|Portugal|175|68|midfielder
139|Benjamin|Lecomte||1991-04-26|France|186|78|goalkeeper
140|César|Falletti||1992-12-02|Uruguay|174|78|midfielder
141|Francisco|Beltrán|Fran Beltrán|1999-02-03|Spain|170|66|midfielder
142|Mattia|Vitale||1997-10-01|Italy|180|69|midfielder
143|Paul|Lasne||1989-01-16|France|186|77|Defensive Midfielder
144|Yehvann|Diouf||1999-11-16|France|184|74|goalkeeper
145|Shawn|Parker||1993-03-07|Germany|181||striker
146|Samuele|Damiani||1998-01-30|Italy|178|74|midfielder
147|Urko|González de Zárate||2001-03-20|Spain|189||
148|Lucas|Olaza||1994-07-21|Uruguay|173|68|defender
149|Marco|Borriello||1982-06-18|Italy|186||striker
150|Jacob|Ramsey|Jacob Ramsey|2001-05-28|England|||
151|Jóan Símun|Edmundsson||1991-07-26|Faroe Islands|185|83|
152|Adrián|Diéguez||1996-02-04|Spain|188|69|defender
153|Cheikh|M'Bengue||1988-06-23|France|183||defender
154|Denis|Odoi||1988-05-27|Ghana|178|67|defender
155|Federico|Vico Villegas|Fede Vico|1994-07-04|Spain|176|70|midfielder
156|Ezri|Konsa||1997-10-23|England|183|77|defender
157|Zinedine|Machach||1996-01-05|France|185|77|midfielder
158|Jens|Cajuste||1999-08-10|Sweden|188|77|Defensive Midfielder
159|Rubén|Duarte||1995-10-18|Spain|180|75|defender
160|Paul|Bernardoni||1997-04-18|France|190|78|goalkeeper
161|Duje|Caleta-Car||1996-09-17|Croatia|192|89|defender
162|Edinson|Cavani||1987-02-14|Uruguay|184|71|striker
163|Lucas|de Freitas Molarinho Chagas|Lucas Freitas|2001-01-20|Brazil|184|75|defender
164|Nicola|Borghetto||1999-11-25|Italy|188|82|goalkeeper
165|Tom|Rothe||2004-10-29|Germany|||defender
166|Leandro|Bacuna|Leandro Bacuna|1991-08-21|Curaçao|187|77|
167|Antonio|Candreva||1987-02-28|Italy|180|70|midfielder
168|David|Zurutuza||1986-07-19|Spain|186|79|midfielder
169|Matías|Dituro||1987-05-06|Argentina|191|86|goalkeeper
170|Oscar|Wendt||1985-10-24|Sweden|181|82|Wing Back
171|Jayden|Braaf||2002-08-31|Netherlands|164||
172|Gaëtan|Bussmann||1991-02-02|France|184|80|defender
173|Lorenzo|Peli||2000-01-24|Italy|173||midfielder
174|Jon|Moncayola||1998-05-13|Spain|189|86|midfielder
175|Krisztofer|Horváth||2002-01-08|Hungary|172||
176|Omar|Rekik||2001-12-20|Tunisia|186|80|
177|Roger|Martínez||2004-04-05|Spain|||midfielder
178|José|Macías||1999-09-22|Mexico|177|73|striker
179|Dickson|Abiama||1998-11-03|Nigeria|184|75|striker
180|Felix|Wiedwald||1990-03-15|Germany|190|82|goalkeeper
181|Bryan|Cristante||1995-03-03|Italy|186|80|midfielder
182|Alfons|Amade||1999-11-12|Germany|170|62|
183|Sam|Vokes||1989-10-21|Wales|186|90|striker
184|Ezequiel|Ponce||1997-03-29|Argentina|180|80|striker
185|Junior|Mwanga||2003-05-11|France|||
186|Nicolás|González||1998-04-06|Argentina|180|72|striker
187|Lino|Kasten||2001-01-17|Germany|188|90|goalkeeper
188|Jose Javier|Hualde||1998-04-28|Spain|||
189|Mamadou|Thiam||1995-03-20|Senegal|180|85|
190|Sebastiano|Desplanches||2003-03-11|Italy|||goalkeeper
191|Adam|Obert||2002-08-23|Slovakia|||defender
192|Gastón|Ramírez||1990-12-02|Uruguay|183|78|
193|Aritz|Elustondo||1994-03-28|Spain|180|71|defender
194|Maxime|Leverbe||1997-02-15|France|188|82|defender
195|Pier Paolo|Salvati||2002-01-01|Italy|||goalkeeper
196|Göktan|Gürpüz||2003-01-22|Germany|175|60|
197|Enric|Franquesa||1997-02-26|Spain|174|70|defender
198|Phillipp|Mwene||1994-01-29|Austria|170|66|defender
199|Mikail|Maden||2002-01-17|Norway|||midfielder
200|Kelechi|Nwakali||1998-06-05|Nigeria|181|76|midfielder
201|Nils|Seufert||1997-02-03|Germany|182|73|midfielder
202|Marin|Jakolis||1996-12-26|Croatia|182|77|midfielder
203|François|Bellugou||1987-04-25|France|188|74|Centrocampista Difensivo
204|Raphael|Framberger||1995-09-06|Germany|179|76|defender
205|Bruno|Martella||1992-08-14|Italy|183|74|defender
206|Joan|Jordán||1994-07-06|Spain|184|74|midfielder
207|Nemanja|Gudelj||1991-11-16|Serbia|187|81|midfielder
208|Rubén|Blanco|Rubén Blanco|1995-07-25|Spain|188|70|goalkeeper
209|Marley|Aké||2001-01-05|France|||midfielder
210|Jim|Allevinah||1995-02-27|Gabon|172||striker
211|Mateu|Morey||2000-03-02|Spain|173|67|defender
212|Alejandro|Gómez|Papu Gómez|1988-02-15|Argentina|167|68|midfielder
213|Iké|Ugbo||1998-09-21|Canada|184|79|striker
214|Steven|Alzate||1998-09-08|Colombia|180|75|midfielder
215|Malik|Sellouki||2000-03-21|France|||
216|Andreas Hugo|Hoelgebaum Pereira|Andreas Pereira|1996-01-01|Brazil|178|71|midfielder
217|Jean|Onana|Jean Onana|2000-01-08|Cameroon|189||
218|Samuele|Perisan||1997-08-21|Italy|192|75|goalkeeper
219|Niccolò|Giannetti||1991-05-12|Italy|181|74|striker
220|Domenico|Coppola||1999-01-29|Cuba|193||goalkeeper
221|Jonjoe|Kenny||1997-03-15|England|176|67|defender
222|Andrea|Ghion||2000-02-23|Italy|174||Defensive Midfielder
223|Achraf|Hakimi||1998-11-04|Morocco|181|73|midfielder
224|Raffaele|Maiello||1991-07-10|Italy|177|73|midfielder
225|Leonardo|de Souza Sena|Léo Sena|1995-12-31|Brazil|175|71|Defensive Midfielder
226|Niklas|Dorsch||1998-01-15|Germany|178|76|
227|Leonardo|Capezzi||1995-03-28|Italy|178|72|midfielder
228|Imanol|Sarriegui||1995-04-27|Spain|||Centrocampista Centrale
229|Ruben|Providence||2001-07-07|France|178||midfielder
230|José|Giménez||1995-01-20|Uruguay|185|80|defender
231|Mamadou|Mbow||2000-03-08|Senegal|187||defender
232|Lamare|Bogarde||2004-01-05|Netherlands|||
233|Nícolas David|Andrade|Nícolas|1988-04-12|Brazil|190|85|goalkeeper
234|Jamie|Bynoe-Gittens||2004-08-08|England|||
235|Nathan|Dyer||1987-11-29|England|165|60|Ala
236|Juan Francisco|Moreno Fuertes|Juanfran|1988-09-11|Spain|180|72|defender
237|Clement|Vidal||2000-06-18|France|181|73|defender
238|Gastón|Álvarez||2000-03-24|Uruguay|184|72|defender
239|Marek|Suchy||1988-03-29|Czech Republic|184|81|defender
240|Danilo|Soares||1991-10-29|Brazil|170|72|Wing Back
241|George|Hirst||1999-02-15|England|191||
242|Teddy|Bartouche||1997-06-05|France|185|74|goalkeeper
243|Matija|Nastasic||1993-03-28|Serbia|188|83|defender
244|Rafiki|Said||2000-03-15|Comoros Islands|||
245|Jason|Steele||1990-08-18|England|188|79|goalkeeper
246|Laurent|Pionnier||1982-05-24|France|183|77|Portiere
247|Andrea|Cossu||1980-05-03|Italy|171|63|Trequartista
248|Justin|Hoogma||1998-06-11|Netherlands|190|81|
249|Jonathan|Clauss||1992-09-25|France|178|69|
250|José|Mena|Pepe Mena|1998-05-15|Spain|175|72|midfielder
251|Nolan|Roux||1988-03-01|France|182|81|
252|Shon|Weissman||1996-02-14|Israel|174|72|striker
253|Mohamed-Ali|Cho||2004-01-19|France|182||
254|Alberto|Grassi||1995-03-07|Italy|183|75|midfielder
255|Clément|Lenglet||1995-06-17|France|186|81|defender
256|Nuno Miguel|da Costa Jóia|Nuno da Costa|1991-02-10|Cabo Verde|184|70|striker
257|Daniele|De Rossi||1983-07-24|Italy|184|83|midfielder
258|Caleb|Ekuban||1994-03-23|Ghana|188|80|striker
259|Samúel Kári|Fridjónsson||1996-02-22|Iceland|186|76|
260|Alfa|Semedo Esteves|Alfa Semedo|1997-08-30|Guinea-Bissau|190|75|Defensive Midfielder
261|Balthazar|Pierret||2000-05-15|France|186|82|
262|Simon|Falette||1992-02-19|Guinea|185|89|defender
263|Niklas|Hauptmann||1996-06-27|Germany|176|63|midfielder
264|Toby|King||2002-01-04|England|||
265|Matheus|Fernandes Siqueira|Matheus Fernandes|1998-06-30|Brazil|183|70|
266|Luca|Kilian||1999-09-01|Germany|192|91|defender
267|Salih|Özcan||1998-01-11|Turkey|182|74|midfielder
268|Josh|Feeney||2005-05-06|England|||
269|Johan|Gastien||1988-01-25|France|179|69|Defensive Midfielder
270|Tom|Cleverley||1989-08-12|England|175|67|midfielder
271|Tidiane|Malbec||2001-11-03|France|||goalkeeper
272|Guédé|Nadje||2003-11-12|France|||striker
273|Eniss|Shabani||2003-05-29|Germany|||
274|Michael|Langer||1985-01-06|Austria|195|93|goalkeeper
275|Oliver|Christensen||1999-03-22|Denmark|190|82|goalkeeper
276|Alexander|Meier||1983-01-17|Germany|196|96|striker
277|Antony|Evans||1998-09-23|England|186|78|midfielder
278|Emil|Ceïde|Emil Ceïde|2001-09-03|Norway|175|71|midfielder
279|Jesper|Verlaat||1996-06-04|Netherlands|192|89|defender
280|Dennis|Jastrzembski||2000-02-20|Poland|177|77|striker
281|Daniele|Gastaldello||1983-06-25|Italy|187|77|defender
282|Emre|Can||1994-01-12|Germany|186|86|midfielder
283|Lars Lukas|Mai||2000-03-31|Germany|190|84|defender
284|Damián|Musto||1987-06-09|Argentina|182|80|midfielder
285|Lukás|Hrádecky||1989-11-24|Finland|192|83|goalkeeper
286|Francisco|Delgado|Fran Delgado|2001-07-11|Spain|||defender
287|Carl|Jenkinson||1992-02-08|England|185|77|defender
288|Toni|Kroos||1990-01-04|Germany|183|76|midfielder
289|Ilay|Elmkies||2000-03-10|Israel|172|69|midfielder
290|Miralem|Pjanic||1990-04-02|Bosnia and Herzegovina|178|72|midfielder
291|Iñaki|Álvarez||1997-06-18|Spain|||goalkeeper
292|Demeaco|Duhaney||1998-10-13|England|180|70|defender
293|Alfredo|Donnarumma||1990-11-30|Italy|180|73|striker
294|Álex|Collado||1999-04-22|Spain|177|66|midfielder
295|Joe|Lolley||1992-08-25|England|178|72|midfielder
296|Anthony|Lozano||1993-04-25|Honduras|185|74|striker
297|Karim|Aribi||1994-06-24|Algeria|192||
298|Christian|Günter||1993-02-28|Germany|184|83|defender
299|Zakaria|Diallo||1986-08-13|France|195|88|defender
300|Carlos Noom|Quomah Baleba|Carlos Baleba|2004-01-03|Cameroon|||
301|Maximiliano|López||1984-04-03|Argentina|185|81|
302|Marcel|Risse||1989-12-17|Germany|183|75|Wing Back
303|José Luis|Rodríguez||1998-06-19|Panama|180|77|midfielder
304|Modibo|Sagnan||1999-04-14|France|187|77|defender
305|Andrei|Lupu||1998-02-24|Romania|172|70|striker
306|Antonio|Raíllo||1991-10-08|Spain|187|80|defender
307|Roberto|Pereyra||1991-01-07|Argentina|182|77|midfielder
308|Philipp|Tschauner||1985-11-03|Germany|196|100|goalkeeper
309|Kanfory|Kaba||2004-03-23|France|||defender
310|Jérémy|Pied||1989-02-23|France|174|69|defender
311|José Antonio|Caro||1994-05-03|Spain|194|88|goalkeeper
312|Anthony|Caci||1997-07-01|France|184|76|defender
313|Luke|Mbete||2003-09-18|England|||defender
314|Marko|Rog||1995-07-19|Croatia|180|73|midfielder
315|Lucas|Vázquez||1991-07-01|Spain|173|70|midfielder
316|Facundo|Medina||1999-05-28|Argentina|177|78|defender
317|Sam|Gallagher||1995-09-15|England|194|75|striker
318|Sam|Byram||1993-09-16|England|180|72|defender
319|Jakub|Kiwior||2000-02-15|Poland|||defender
320|Alessandro|Semprini||1998-02-24|Italy|183|75|defender
321|Andreaw|Gravillon||1998-02-08|Guadeloupe|188|75|defender
322|Gelson Dany|Batalha Martins|Gelson Martins|1995-05-11|Portugal|173|72|midfielder
323|Francesco|Migliardi||2003-03-19|Italy|||defender
324|Alejandro|Martínez Sánchez|Álex Martínez|1990-08-12|Spain|176|67|
325|Marc|Leonard||2001-12-19|Scotland|||
326|Tiemoué|Bakayoko||1994-08-17|France|185|77|Defensive Midfielder
327|Juan Carlos|Real||1991-03-15|Spain|183|73|midfielder
328|Eloi|Amagat||1985-05-21|Spain|180|72|midfielder
329|Florian|Flecker||1995-10-29|Austria|173|70|
330|Wojciech|Szczesny||1990-04-18|Poland|195|90|goalkeeper
331|Mattia|Mustacchio||1989-05-17|Italy|182|78|striker
332|Angelo|Guida||2002-08-24|Italy|||
333|Rogerio|Oliveira da Silva|Rogerio|1998-01-13|Brazil|178|70|defender
334|Marcos André|de Sousa Mendonça|Marcos André|1996-10-20|Brazil|184|78|striker
335|Jonas|Urbig||2003-08-08|Germany|189|74|goalkeeper
336|Serge|Gakpé||1987-05-07|Togo|177|79|
337|Stéphane|Diarra||1998-12-09|Côte d&#39;Ivoire|173|58|midfielder
338|Giorgio|Chiellini||1984-08-14|Italy|187|85|defender
339|Luis|Advíncula||1990-03-02|Peru|178|80|defender
340|Rekeem|Harper||2000-03-08|England|188|81|midfielder
341|Tim|Civeja||2002-01-04|Germany|180|74|
342|Santiago|Ascacibar||1997-02-25|Argentina|168|70|Defensive Midfielder
343|Sebastián|Cristóforo||1993-08-23|Uruguay|175|68|midfielder
344|Jack|Wilshere||1992-01-01|England|172|68|midfielder
345|Adrián|López Garrote|Adrián López|1999-01-09|Spain|||goalkeeper
346|Álvaro|Sanz||2001-02-14|Spain|||Defensive Midfielder
347|Luca|Zanimacchia||1998-07-19|Italy|178|72|midfielder
348|Cheick Djibril|Bangoura||2001-12-27|France|||midfielder
349|Idrissa|Doumbia||1998-04-14|Côte d&#39;Ivoire|187|82|Defensive Midfielder
350|Giacomo|Vrioni||1998-10-15|Albania|180|70|
351|Will|Norris||1993-08-12|England|195|74|goalkeeper
352|Marco|Alia||2000-04-26|Albania|185||
353|Kadeem|Harris||1993-06-08|England|175|67|
354|Ryan|Astley||2001-10-04|Wales|||defender
355|Molla|Wagué||1991-02-21|Mali|191|87|defender
356|Giacomo|Olzer||2001-04-14|Italy|188|78|midfielder
357|Sergi|Roberto||1992-02-07|Spain|178|68|defender
358|Ramón|Azeez||1992-12-12|Nigeria|169|67|midfielder
359|Ivan|Santini||1989-05-21|Croatia|190|90|striker
360|Filippo|Mozzo||2004-04-21|Italy|||
361|Dusan|Vlahovic||2000-01-28|Serbia|190|75|striker
362|Aaron|Wan-Bissaka||1997-11-26|England|183|72|defender
363|Vladimir|Golemic||1991-06-28|Serbia|192|83|
364|Layvin|Kurzawa||1992-09-04|France|182|74|defender
365|Younes|Kaboul||1986-01-04|France|192||defender
366|Enrico|Valentini||1989-02-20|Germany|182|80|defender
367|Marco|Curto||1999-01-05|Italy|||
368|Scott|McTominay||1996-12-08|Scotland|193|88|midfielder
369|Rajko|Brezancic||1989-08-21|Serbia|176|71|
370|Franck|Honorat||1996-08-11|France|180|70|midfielder
371|Semuel|Pizzignacco||2001-09-01|Italy|185|76|goalkeeper
372|Diego|Hernández Barriuso|Barri|1995-09-19|Spain|188|81|Defensive Midfielder
373|Denis|Zakaria||1996-11-20|Switzerland|191|81|Defensive Midfielder
374|Paulo|Gazzaniga||1992-01-02|Argentina|196|90|goalkeeper
375|Karim|Bellarabi||1990-04-08|Germany|184|81|midfielder
376|Adrià|Pedrosa||1998-05-13|Spain|176|69|defender
377|Miguel|San Román||1997-07-14|Spain|189|79|goalkeeper
378|Fabio|Lucioni||1987-09-25|Italy|185|80|defender
379|Andrés|Guardado|Andrés Guardado|1986-09-28|Mexico|169|60|midfielder
380|Jeffrey|Bruma||1991-11-13|Netherlands|190|88|defender
381|René|Adler||1985-01-15|Germany|191|85|goalkeeper
382|Juan|Miranda||2000-01-19|Spain|185|79|defender
383|Felipe|Dos Reis Pereira Vizeu Do Carmo|Felipe Vizeu|1997-03-12|Brazil|185|83|striker
384|Reinhold|Yabo||1992-02-10|Germany|176|83|midfielder
385|Félix|Eboa Eboa||1997-04-19|Cameroon|186|80|
386|Peru|Nolaskoain||1998-10-25|Spain|186|81|defender
387|Amir|Feratovic||2002-06-08|Slovenia|||
388|Hernán|Toledo||1996-01-17|Argentina|180|70|midfielder
389|Jeison|Lucumí||1995-04-08|Colombia|177|63|midfielder
390|Sergio|Maselli||2001-04-06|Italy|||Defensive Midfielder
391|Ishak|Belfodil||1992-01-12|Algeria|192|86|striker
392|Yoann|Gourcuff||1986-07-11|France|185|82|midfielder
393|Farid|El Melali||1997-05-05|Algeria|168|65|midfielder
394|Roberto|Piccoli||2001-01-27|Italy|187|78|striker
395|Yannis|Clementia||1997-07-05|France|188|80|goalkeeper
396|Florian|Krüger||1999-02-13|Germany|186|83|striker
397|José Manuel|López Sánchez|José Manuel|1999-02-25|Spain|||
398|Mattia|Sprocati||1993-04-28|Italy|178|70|midfielder
399|Marco|Russ||1985-08-04|Germany|190|88|defender
400|Kingsley|Michael||1999-08-26|Nigeria|176|70|midfielder
401|Renato Júnior|Luz Sanches|Renato Sanches|1997-08-18|Portugal|176|70|midfielder
402|Cheikh Kane|Sarr||2000-04-21|Senegal|190||goalkeeper
403|Justin|Njinmah||2000-11-15|Germany|184|75|
404|Keinan|Davis||1998-02-13|England|191|68|striker
405|Paulo Henrique|Chagas de Lima|Ganso|1989-10-12|Brazil|184|79|midfielder
406|Raúl|Rodríguez Navas|Raúl Navas|1988-05-11|Spain|186|84|defender
407|Morgan|Schneiderlin||1989-11-08|France|181|75|Defensive Midfielder
408|Sebastian|Rode||1990-10-11|Germany|180|71|midfielder
409|Kevin|Lasagna||1992-08-10|Italy|185|80|striker
410|Dennis|Cirkin||2002-04-06|England|181|78|defender
411|Simon|Laner||1984-01-28|Italy|182||midfielder
412|Simone|Pontisso||1997-03-20|Italy|184|74|Defensive Midfielder
413|Rubén|Rochina||1991-03-23|Spain|182|76|midfielder
414|Sergio|Córdova||1997-08-09|Venezuela|188|87|midfielder
415|Jonathan|Klinsmann||1997-04-08|USA|194|89|goalkeeper
416|Rayan|Souici||1998-02-28|France|184|71|
417|Presnel|Kimpembe||1995-08-13|France|183|77|defender
418|Jakub|Moder||1999-04-07|Poland|188|78|midfielder
419|Marvin Olawale|Akinlabi Park|Marvin Park|2000-07-03|Spain|||midfielder
420|James|Garner||2001-03-13|England|186|78|midfielder
421|Tahith|Chong||1999-12-04|Netherlands|185|75|midfielder
422|Nicolas|Galazzi||2000-12-18|Italy|||midfielder
423|Sam|Lammers||1997-04-30|Netherlands|189|77|striker
424|Andreas|Cornelius||1993-03-16|Denmark|193|91|striker
425|Nicolas|Benezet||1991-02-24|France|170|65|midfielder
426|Michael|Krohn-Dehli||1983-06-06|Denmark|171|70|midfielder
427|Axel|Desjardins||2000-01-13|Canada|188|81|
428|Miguel Alfonso|Herrero Javaloyas|Míchel|1988-07-29|Spain|182|68|midfielder
429|Philipp|Klement||1992-09-09|Germany|175|72|midfielder
430|Markel|Susaeta||1987-12-14|Spain|179|63|midfielder
